station_name,station_latitude,station_longitude
"Little Brook Green, Brook Green",51.4968372,-0.2237767
"Columbia Road, Shoreditch",51.527853,-0.08341
"Harrington Square 1, Camden Town",51.5330236,-0.1391613
"Austin Road, Battersea Park",51.4743593,-0.1554307
"Arlington Road, Camden Town",51.53541188,-0.1411237315
"Thorndike Close, West Chelsea",51.486925,-0.167411
"Smith Square, Westminster",51.4959955,-0.1270542515
"Tavistock Place, Bloomsbury",51.52637551,-0.1227862428
"Sirdar Road, Avondale",51.592925,-0.097607
"Triangle Car Park, Hyde Park",53.681617,-1.48278
"New Road 1 , Whitechapel",51.518128,-0.0625664
"Cheshire Street, Bethnal Green",51.52364637,-0.06862364113
"Cadogan Gardens, Chelsea",51.49296364,-0.1594484627
"Concert Hall Approach 2, South Bank",51.5048858,-0.1153724
"Shepherd's Bush Road North, Shepherd's Bush",51.5015492,-0.2222422
"Kennington Road  , Vauxhall",51.49077157,-0.111091061
"Westfield Library Corner, Shepherd's Bush",51.506103,-0.22419
"Wren Street, Holborn",51.5253578,-0.1154411967
"Sidney Road, Stockwell",51.46982644,-0.117969019
"Monier Road, Hackney Wick",51.539518,-0.02335
"Aston Street, Stepney",51.51710252,-0.03844262907
"Bath Street, St. Luke's",51.52628127,-0.09101932337
"Waterloo Road, South Bank",51.50281012,-0.1105996045
"Globe Town Market, Bethnal Green",51.5288989,-0.0475751
"Battersea Power Station, Battersea Park",51.4796154,-0.1429709
"Aberdeen Place, St. John's Wood",51.52544779,-0.1752383668
"Nesham Street, Wapping",51.5074344,-0.06728717466
"Blackfriars Road, Southwark",51.50003734,-0.1046424246
"Grove End Road, St. John's Wood",51.53355668,-0.1758647872
"Durant Street, Bethnal Green",51.52931729,-0.0662254682
"Bayswater Road, Hyde Park",51.5128511,-0.1634759
"Tower Gardens , Tower",51.5095303,-0.075386
"Bruton Street, Mayfair",51.51052051,-0.1446798227
"Calshot Street , King's Cross",51.536114,-0.12527
"Ampton Street , Clerkenwell",51.52301,-0.109478
"Finnis Street, Bethnal Green",51.52510589,-0.05870777748
"Saunders Ness Road, Cubitt Town",51.48774301,-0.006903012923
"Crisp Road, Hammersmith",51.48808564,-0.2265987569
"Finlay Street, Fulham",51.47569692,-0.2180822966
"Tooley Street, Bermondsey",51.50117839,-0.07552906616
"Clements Road, Bermondsey",51.49511091,-0.06400817703
"Battersea Church Road, Battersea",51.47797801,-0.1728538453
"Gloucester Road (North), Kensington",51.4979729,-0.1838335
"Fire Brigade Pier, Vauxhall",51.50334595,-0.0986142465
"Phillimore Gardens, Kensington",51.50206548,-0.1998193568
"Chrisp Street Market, Poplar",51.5123768,-0.01480266024
"Haggerston Road, Haggerston",51.53903039,-0.07380470598
"Chepstow Villas, Notting Hill",51.51363976,-0.1982623633
"Fulham Broadway, Walham Green",51.4808834,-0.1943493
"Battersea Park Road, Nine Elms",51.47729743,-0.1462100982
"Jubilee Crescent, Cubitt Town",51.49341557,-0.008094073967
"Northdown Street, King's Cross",51.533068,-0.120028
"Ram Street, Wandsworth",51.45740786,-0.1922655797
"Sackville Street, Mayfair",51.5095561,-0.13830705
"Lexham Gardens, Kensington",51.49622377,-0.1905220248
"Kennington Station, Kennington",51.4851539,-0.1135979458
"Clarkson Street, Bethnal Green",51.52937101,-0.05912532691
"LMU Commercial Road, Whitechapel",51.5149277,-0.0661794
"Great Percy Street, Clerkenwell",51.52988997,-0.1111271853
"Queen Street 2, Bank",51.5112255,-0.0929962
"Bricklayers Arms, Borough",51.4660771,-0.2167487097
"Bishop's Bridge Road West, Bayswater",51.5160924,-0.1873559
"Caldwell Street, Stockwell",51.47703231,-0.1159781954
"Old Montague Street, Whitechapel",51.51919898,-0.06468952992
"Stonecutter Street, Holborn",51.518275,-0.1154
"Stewart's Road, Wandsworth Road",51.4731113,-0.1372169
"Wenlock Road , Hoxton",51.53217333,-0.09464207784
"Knightsbridge, Hyde Park",51.513003,-0.1639248
"William Morris Way, Sands End",51.46856371,-0.1845874193
"Heath Road, Battersea",51.473195,-0.159157
"Buxton Street 1, Shoreditch",51.527853,-0.08341
"Tavistock Street, Covent Garden",51.51143288,-0.1217208657
"Lee Valley VeloPark, Queen Elizabeth Olympic Park",51.5503768,-0.01523936351
"Heron Quays DLR, Canary Wharf",51.5061102,-0.0176241
"North Audley Street, Mayfair",51.51272636,-0.1532835052
"Gower Place , Euston",51.525644,-0.132666
"Lansdowne Way Bus Garage, Stockwell",51.474652,-0.12022
"Chesilton Road, Fulham",51.47680504,-0.2066603476
"Worship Street, Shoreditch",51.52164466,-0.07951489398
"All Saints Church, Portobello",51.3726544,-0.193193426
"Sheepcote Lane, Battersea",51.47039172,-0.158630472
"Queen Victoria Street, St. Paul's",51.5121187,-0.09505887119
"Parson's Green , Parson's Green",51.4794542,-0.1965977868
"Bayley Street , Bloomsbury",51.51886634,-0.1314806872
"Montserrat Road , Putney",51.46278779,-0.2136424574
"Braham Street, Aldgate",51.5141203,-0.0735754
"St Mary's Hospital, Westminster",51.5174403,-0.1743230873
Pop Up Dock 1,51.5911528,-0.1482079715
"Teversham Lane, Stockwell",51.47603567,-0.1236333958
"Red Lion Square, Holborn",51.51943047,-0.1187955511
"St. John's Wood Road, St. John's Wood",51.52881992,-0.1716509365
"Tyers Gate, Bermondsey",51.50095927,-0.08279360632
"Bankside Mix, Bankside",51.50579575,-0.1000715935
"Dock Street, Wapping",51.50981105,-0.068096368
"Lollard Street, Vauxhall",51.49280515,-0.1146816042
"Rathbone Street, Fitzrovia",51.51860128,-0.1357594923
"Coram Street, Bloomsbury",51.52413227,-0.1257879959
"Spanish Road, Clapham Junction",51.45876258,-0.1807020823
"Great Marlborough Street, Soho",51.51438328,-0.1388711251
"Hinde Street, Marylebone",51.51692885,-0.1514318585
"West Kensington Station, West Kensington",51.500958,-0.198964
"British Museum, Bloomsbury",51.51931175,-0.1267051248
"Copper Box Arena, Queen Elizabeth Olympic Park",51.5443061,-0.02006478731
"Soho Square , Soho",51.5152892,-0.1322103233
"Clifton Road, Maida Vale",51.52573561,-0.1790256799
"Preston's Road, Cubitt Town",51.499359,-0.009203
"Sopwith Way, Battersea Park",51.481839,-0.147898
"Walworth Road, Elephant & Castle",51.49329156,-0.09952327821
"Orbel Street, Battersea",51.47426108,-0.1712573619
"Mile End Stadium, Mile End",51.51902135,-0.03342071487
"Tate Modern, Bankside",51.5074293,-0.09934164883
"Belvedere Road 2, South Bank",51.5061103,-0.1146803
"Southerton Road, Hammersmith",51.49584701,-0.2285054864
"Eversholt Street , Camden Town",51.52832668,-0.1319045588
"Thurtle road, Haggerston",51.53354439,-0.07158340503
"St. John Street, Finsbury",51.52437847,-0.1032653704
"Foley Street, Fitzrovia",51.51932139,-0.1401009675
"Whiston Road, Haggerston",51.53499267,-0.06955907755
"George Place Mews, Marylebone",51.5168848,-0.1584358
"Jewry Street, Aldgate",51.51339142,-0.07670696479
"Westbourne Park Road, Portobello",51.518153,-0.193079
"Belgrave Square, Belgravia",51.49970516,-0.1543843745
"Usk Road, Clapham Junction",51.46337373,-0.1819149157
"West Cromwell Road, Earl's Court",51.49384502,-0.1970179058
"Eastbourne Mews, Paddington",51.51656511,-0.1794060353
"Serpentine Car Park, Hyde Park",53.681617,-1.48278
"Russell Gardens, Olympia",51.628793,-0.161866
"Stephendale Road, Sands End",51.46989859,-0.1878778248
"Cheapside, Bank",51.51385305,-0.09252000015
"Tower Wharf, Bermondsey",51.5008272,-0.0746486
"Bermondsey Station, Bermondsey",51.4980016,-0.0634584
"Portugal Street, Holborn",51.51436604,-0.1172917604
"Queensway, Westminster",51.5104729,-0.1872329
"Butler Place, Westminster",51.4979662,-0.1350178
"Alpha Grove, Millwall",51.49846985,-0.02290489044
"Aylward Street, Stepney",51.51582081,-0.04772678433
"Watney Market, Stepney",51.5137487,-0.05679555706
"Bank of England Museum, Bank",51.51416175,-0.08893868106
"Putney Bridge Road, East Putney",51.464694,-0.214098
"Osiers Road, Wandsworth",51.4607927,-0.1977159697
"Manbre Road, Hammersmith",51.48643021,-0.2241246573
"Southern Grove, Bow",51.5247366,-0.03128953446
"Burdett Road, Mile End",51.51936053,-0.03094286327
"Parkway, Camden Town",51.53765223,-0.1450851955
"Harcourt Terrace, West Brompton",51.487546,-0.186662
"Queen's Gate (South), South Kensington",51.4924062,-0.1784098
"St. Luke's Church, Chelsea",51.489773,-0.1702519
"Holland Park, Kensington",51.5072349,-0.205407057
"Appold Street, Liverpool Street",51.509648,-0.099076
"Stamford Street, South Bank",51.50623599,-0.1099678757
"Royal London Hospital, Whitechapel",51.51750265,-0.0598850678
"Farringdon Lane, Clerkenwell",51.52285799,-0.1068889624
"Hibbert Street, Battersea",51.46483484,-0.1803178954
"St. John's Wood Church, The Regent's Park",51.0381,-3.185703
"Ossulston Street, Somers Town",51.53020074,-0.1291139035
"Warren Street Station, Euston",51.5247178,-0.1385303
"Islington Green, Angel",51.53601485,-0.1032468353
"Albert Gardens, Stepney",51.51267155,-0.04717433361
"Ashley Place, Victoria",51.49623,-0.1405856276
"Vauxhall Bridge , Pimlico",51.48831885,-0.12864095
"Ashmole Estate, Oval",51.4827281,-0.117457
"Lansdowne Road, Ladbroke Grove",51.377072,-0.095417
"Old Brompton Road, South Kensington",51.49041902,-0.1867123387
"Grant Road East, Clapham Junction",51.4649342,-0.1728829
"Stebondale Street, Cubitt Town",51.48990585,-0.008703218911
"Vauxhall Walk, Vauxhall",51.48944055,-0.1159264805
"Upper Bank Street, Canary Wharf",51.50536674,-0.01687606203
"Central House, Aldgate",51.52675,-0.129981
"Stockwell Roundabout, Stockwell",51.469102,-0.116113
"Abbotsbury Road, Holland Park",51.501962,-0.206442
"Northumberland Avenue, Strand",51.509648,-0.099076
"East Ferry Road, Cubitt Town",51.48847007,-0.01347140793
"Montgomery Square, Canary Wharf",51.50311428,-0.01678850448
"Euston Square Gardens, Euston",51.5270987,-0.1318066
"Westbourne Grove, Bayswater",51.51558028,-0.1901631908
"Stainsby Road , Poplar",51.51470412,-0.02396423191
"Maida Vale, Maida Vale",51.5297928,-0.1857906
"Podium, Queen Elizabeth Olympic Park",51.54496,-0.01717721528
"Walworth Square, Walworth",51.49116527,-0.09693880601
"Christopher Street, Liverpool Street",51.509648,-0.099076
"Clifford Street, Mayfair",51.51081974,-0.141980883
"Rotherhithe Roundabout, Rotherhithe",51.4991778,-0.055794
"Burgess Park Albany Road, Walworth",51.4818024,-0.08997240606
"Elgin Avenue, Maida Hill",51.52481855,-0.1992694936
"Rodney Street, Angel",51.53334585,-0.1146998484
"Little Argyll Street, West End",51.514509,-0.141209
"Gaywood  Street, Elephant & Castle",51.49642377,-0.1025741869
"Wellington Road, St. John's Wood",51.53238455,-0.1718326415
"Warwick Road, Olympia",51.506602,-0.300069
"Black Lion Gate, Kensington Gardens",51.5099261,-0.1879073
"Gloucester Avenue, Camden Town",51.54057279,-0.1517017956
"Lambeth Road, Vauxhall",51.49490023,-0.1183236547
"Bell Lane, Liverpool Street",51.509648,-0.099076
"Ilchester Place, Kensington",51.5003923,-0.20379085
"Green Park Station, Mayfair",51.50660915,-0.1427438331
"Danvers Street, West Chelsea",51.486925,-0.167411
"Bethnal Green Garden, Bethnal Green",51.5256907,-0.0552406
"Vicarage Gate, Kensington",51.50471562,-0.1920083465
"Nevern Place, Earl's Court",51.49315685,-0.1951807
"Russell Square Station, Bloomsbury",51.5234289,-0.124118
"Flamborough Street, Limehouse",51.51411691,-0.03894314359
"Crinan Street, King's Cross",51.534226,-0.121659
"Earnshaw Street , Covent Garden",51.513645,-0.122869
"East India DLR, Blackwall",51.5093835,-0.0021873
"Bromley High Street, Bow",51.52820093,-0.0143848903
"Argyll Road, Kensington",51.50150149,-0.1965590119
"Riverlight North, Nine Elms",51.4823352,-0.1362718
"Vauxhall Street, Vauxhall",51.48756759,-0.1168174494
"Moor Street, Soho",51.5134984,-0.1299419491
"Bridge Avenue, Hammersmith",51.4913604,-0.2297719249
"Devons Road, Bow",51.5222078,-0.0172729
"Concert Hall Approach 1, South Bank",51.505073,-0.1159431
"Lord's, St. John's Wood",51.5297966,-0.1720383507
"Putney Rail Station, Putney",51.4607051,-0.2163943
"Somerset House, Strand",51.5116948,-0.117442
"Southwark Street, Bankside",51.50486063,-0.09498785229
"Upcerne Road, West Chelsea",51.486925,-0.167411
"Leonard Circus , Shoreditch",51.52467495,-0.0840444374
"Cloudesley Road, Angel",51.53643531,-0.1097138843
"Exhibition Road, Knightsbridge",51.50080212,-0.1745271013
"Finsbury Square , Moorgate",51.5177931,-0.0864631176
"Rainville Road, Hammersmith",51.4842124,-0.224222171
"Bury Place, Holborn",51.51837446,-0.1242722931
"South Lambeth Road, Vauxhall",51.47979186,-0.1240200563
"Napier Avenue, Millwall",51.48827286,-0.02085248096
"Prince of Wales Drive, Battersea Park",51.475678,-0.155837
"Chelsea Green, Chelsea",51.4907124,-0.166489
"Bevington Road, North Kensington",51.5209811,-0.2080759913
"Claremont Square, Angel",51.5312589,-0.1103610417
"Kennington Lane Tesco, Vauxhall",51.482836,-0.120838
"Abyssinia Close, Clapham Junction",51.46000987,-0.1671725914
"Selby Street, Whitechapel",51.52193769,-0.06310805552
"Temple Gardens, Temple",51.5116226,-0.1106104919
"Harris Academy, Bermondsey",51.4927018,-0.0724143
"Devonshire Square, Liverpool Street",51.509648,-0.099076
"Sutton Street, Shadwell",51.5113411,-0.05368083716
"The Green Bridge, Mile End",51.52482552,-0.03538656391
"Cleveland Gardens, Bayswater",51.51525884,-0.1835247598
"Erin Close, Walham Green",51.479437,-0.1957239
"Mile End Park Leisure Centre, Mile End",51.5192824,-0.03222284368
"Eaton Square, Belgravia",51.49586235,-0.1517093387
"Hampstead Road (Cartmel), Euston",51.525644,-0.132666
"Colombo Street, Southwark",51.50539258,-0.1055941319
"Garnet Street, Shadwell",51.50737791,-0.05499128373
"Natural History Museum, South Kensington",51.4965109,-0.1760019073
"LSBU (Borough Road), Elephant & Castle",51.4948884,-0.1005731
"Hardwick Street, Clerkenwell",51.52774102,-0.1083722825
"Wellington Row, Bethnal Green",51.52860934,-0.06639269025
"Royal Avenue 2, Chelsea",51.4900724,-0.1623808
"One Tower Bridge, Bermondsey",51.50353285,-0.07766995739
"Queen's Gate (North), Kensington",51.521436,-0.216632
"Strand, Strand",51.5125464,-0.1152123
"Beaumont Street, Marylebone",51.52184321,-0.1510137844
"Drayton Gardens, West Chelsea",51.486925,-0.167411
"Old Street Station, St. Luke's",51.5256284,-0.0876094
"Cadogan Place, Knightsbridge",51.500209,-0.167264
"Hereford Road, Bayswater",51.51447421,-0.1937351226
Duke Street Hill Bridge,51.506003,-0.087437
"Bancroft Road, Bethnal Green",51.52525959,-0.04432413534
"Mudchute DLR, Cubitt Town",51.4908014,-0.0146604
"London Zoo,  The Regent's Park",51.0381,-3.185703
"Waterloo Station 2, Waterloo",51.5039243,-0.1134248
"Woodstock Street, Mayfair",51.51408238,-0.1473282541
"Victoria & Albert Museum, South Kensington",51.4968838,-0.1716372166
"Palissy Street, Shoreditch",51.527853,-0.08341
"Union Street, The Borough",51.50365783,-0.09330851883
"Westminster Bridge Road, Elephant & Castle",51.49845227,-0.108150809
"Scala Street, Fitzrovia",51.52005194,-0.1356181135
"Sardinia Street, Holborn",51.51510453,-0.1180556913
"Sugden Road, Clapham",51.46329953,-0.1573635464
"Gloucester Road Station, South Kensington",51.4945266,-0.1837696
"St. Mary Axe, Aldgate",51.5140577,-0.0811224
"Brunswick Square, Bloomsbury",51.52437449,-0.122705458
"Regency Street, Westminster",51.49334803,-0.1323081483
"Webber Street , Southwark",51.50079423,-0.1025710123
"Howland Street, Fitzrovia",51.52115407,-0.1384078686
"Lancaster Gate , Bayswater",51.5118458,-0.175108
"Dunston Road , Haggerston",51.53661683,-0.07642258382
"Beryl Road, Hammersmith",51.48869432,-0.2207314138
"Murray Grove , Hoxton",51.53085531,-0.08938771003
"Peterborough Road, Sands End",51.46630693,-0.192864618
"Cranmer Road, Stockwell",51.4794874,-0.1097411542
"Tysoe Street, Clerkenwell",51.52653588,-0.1084399373
"Upper Richmond Road, Putney",51.46281989,-0.2255936784
"Westferry DLR, Limehouse",51.5094025,-0.026644
"St Mary's Hospital, Paddington",51.5174403,-0.1743230873
"The Metropolitan, Portobello",51.505,-0.1503
"Cardinal Place, Victoria",51.49769745,-0.1407721165
Import Dock,51.5022501,0.0332232
Pop Up Dock 2,51.523481,-0.07605444042
"Seymour Place, Marylebone",51.51722369,-0.1621454355
"Hampstead Road, Euston",51.527178,-0.138633
"Belvedere Road 1, South Bank",51.5061027,-0.1146752
"Jubilee Street, Stepney",51.51801867,-0.05295765655
"Imperial Wharf Station, Sands End",51.4745087,-0.1832205
"The Vale, Chelsea",51.48570612,-0.1756730876
"Lower Thames Street, Monument",51.50931694,-0.08412475923
"Golden Lane, Barbican",51.5208823,-0.09397795
"Cantrell Road, Bow",51.52167041,-0.02685840952
"Westfield Ariel Way, White City",51.512378,-0.226481
"Grenfell Road, Avondale",50.758115,-1.874822
"Paddington Street, Marylebone",51.52060523,-0.1549590631
"Notting Hill Gate Station, Notting Hill",51.5089252,-0.1961978
"BBC White City, White City",51.51162185,-0.2245282073
"Euston Road, Euston",51.5247178,-0.1385303
"Hammersmith Road, Hammersmith",51.49531795,-0.21083345
"Bow Church Station, Bow",51.5274411,-0.0206424
"Hawley Crescent, Camden Town",51.54105024,-0.1431849732
"Hoxton Station, Hoxton",51.5312075,-0.0758576
"Putney Bridge Station, Fulham",51.4682995,-0.2087947
"Hartington Road, Stockwell",51.47690407,-0.1272563994
"Lansdowne Walk, Ladbroke Grove",51.508605,-0.208042
"Kensington Town Hall, Kensington",51.5021491,-0.1950747792
"St Martins Close, Camden Town",51.538535,-0.138759
"Crosswall, Tower",51.5166115,-0.09408030798
"Walnut Tree Walk, Vauxhall",51.49439088,-0.1132116252
"Cadogan Close, Victoria Park",51.540092,-0.033982
"Wardour Street, Soho",51.51333599,-0.1339071808
"Howick Place, Westminster",51.49682987,-0.1363765596
"Sadlers Sports Centre, Finsbury",51.5248477,-0.0994581
"Ada Street, Hackney Central",51.547046,-0.057562
"Lavington Street, Bankside",51.50509717,-0.1000694783
"Carey Street, Holborn",51.51502308,-0.1128859464
"Belgrove Street , King's Cross",51.52959885,-0.1232787277
"Cephas Street, Bethnal Green",51.52273493,-0.05406604672
"Abbey Orchard Street, Westminster",51.49833121,-0.1313774958
"Portman Square, Marylebone",51.51620315,-0.1557293213
"New Cavendish Street, Marylebone",51.51873398,-0.1507564476
"Park Street, Bankside",51.506936,-0.097880444
"De Vere Gardens, Kensington",51.50075271,-0.1849693942
"Sedding Street, Sloane Square",51.493277,-0.156878
"Page Street, Westminster",51.49391481,-0.1306514651
"Rochester Row, Westminster",51.49555558,-0.1356320569
"Shoreditch Park, Hoxton",51.5345855,-0.08622567038
"Farringdon Street, Holborn",51.518275,-0.1154
"Queen's Gate (Central), South Kensington",51.4940564,-0.1787608
"Fisherman's Walk West, Canary Wharf",51.5062687,-0.0230081
"Wellington Street , Strand",51.511477,-0.119579
"William IV Street, Strand",51.511477,-0.119579
"Trebovir Road, Earl's Court",51.49198987,-0.1945472576
"Canada Water Station, Rotherhithe",51.4979299,-0.0498405
"Allington street, Westminster",51.49728452,-0.1426724397
"Embankment (Horse Guards), Westminster",51.518569,-0.169963
"Thurtle Road, Haggerston",51.53354439,-0.07158340503
"Storey's Gate, Westminster",51.49999331,-0.1295176896
"Harrowby Street, Marylebone",51.51696739,-0.1652859935
"Shoreditch High Street, Shoreditch",51.52307971,-0.07767178456
"Royal College Street, Camden Town",51.54265784,-0.1391230265
"Spindrift Avenue, Millwall",51.49103175,-0.01820525436
"Margery Street, Clerkenwell",51.5272364,-0.1111320571
"Rifle Place, Avondale",51.509164,-0.216335
"New Fetter Lane, Holborn",51.517295,-0.107861
"Bramham Gardens, Earl's Court",51.4913442,-0.18944915
"Edgware Road Station, Marylebone",51.5196766,-0.1676393
"Exhibition Road Museums, South Kensington",51.4959951,-0.1737008
"Grant Road West, Clapham Junction",51.509648,-0.099076
"Evesham Street, Avondale",52.303189,-1.942234
"Falkirk Street, Hoxton",51.53078976,-0.07894630454
"Doric Way , Somers Town",51.5292494,-0.1312793344
"Westferry Circus, Canary Wharf",51.50575665,-0.02687598035
"South Kensington Station, South Kensington",51.494472,-0.1735038
"Collingham Gardens, Earl's Court",51.491698,-0.1886258
"Embankment (Savoy), Strand",51.5096268,-0.1190509
"Ontario Street, Elephant & Castle",51.49686189,-0.1010881565
"Manfred Road, East Putney",51.458193,-0.205463
"Bishop's Bridge Road East, Bayswater",51.5171483,-0.183437
"Risinghill Street, Angel",51.53327557,-0.111882505
"Freston Road, Avondale",52.02838,1.192308
"Finsbury Circus, Liverpool Street",51.509648,-0.099076
"New North Road 2, Hoxton",51.53029427,-0.08423169037
"Graham Street, Angel",51.53148508,-0.09843196359
"New Inn Yard, Shoreditch",51.52455037,-0.07838264735
"Swan Street, The Borough",51.49985538,-0.09360734508
"Endsleigh Gardens, Euston",51.525644,-0.132666
"Addison Road, Holland Park",51.499735,-0.207868
"Drury Lane, Covent Garden",51.51299415,-0.1202295095
"Parsons Green Station, Parsons Green",51.509648,-0.099076
"Timber Lodge, Queen Elizabeth Olympic Park",51.54496,-0.01717721528
"Elysium Place, Fulham",51.47136523,-0.2071908893
"Cleaver Street, Kennington",51.4880669,-0.1098726531
"Leman Street, Aldgate",51.517172,-0.074018
"Ansell House, Stepney",51.5200124,-0.0543657
"Fawcett Close, Battersea",51.46966012,-0.1739047372
"Sancroft Street, Vauxhall",51.48970831,-0.1157928455
"Boston Place, Marylebone",51.52372339,-0.162816763
"Baker Street, Marylebone",51.5225862,-0.1567349
"Bourne Street, Belgravia",51.49133582,-0.1539509515
"Waterloo Bridge, South Bank",51.5028379,-0.112801
"Castalia Square, Cubitt Town",51.4981993,-0.01056149381
"Red Lion Street, Holborn",51.51843191,-0.1166681238
"Panton Street, West End",51.509513,-0.131718
"Lisson Grove, St. John's Wood",51.52543549,-0.1697386163
"St. Mary & St. Michael Church, Stepney",51.5141605,-0.0520112
"Tanner Street, Bermondsey",51.50038045,-0.07513641027
"Waterloo Place, St. James's",51.50675195,-0.1322829848
"Gascoyne Road, Victoria Park",51.54206071,-0.04055251143
"Queensway, Kensington Gardens",51.509648,-0.099076
"London Fields, Hackney Central",51.547046,-0.057562
"Regent's Row , Haggerston",51.53574606,-0.06572371381
"Argyle Street, Kings Cross",51.509648,-0.099076
"Wansey Street, Walworth",51.4916473,-0.0955356
"Allington street, Westminster, SW1E 5EB",51.49728452,-0.1426724397
"Charlotte Street, Fitzrovia",51.52076399,-0.1371018576
"Prince Albert Road, The Regent's Park",51.530652,-0.167291
"Great Titchfield Street, Fitzrovia",51.51943318,-0.1409998688
"Vauxhall Cross, Vauxhall",51.4879011,-0.1233595
"Bethnal Green Road, Shoreditch",51.52369273,-0.07709199318
"Longford Street, The Regent's Park",51.533149,-0.144579
"Pritchard's Road, Bethnal Green",51.53345764,-0.06228358136
"All Saints' Road, Portobello",51.373053,-0.189618
"Drummond Street , Euston",51.526542,-0.138336
"Berry Street, Clerkenwell",51.52388222,-0.1006333273
"Holy Trinity Brompton, Knightsbridge",51.49787335,-0.1699086374
"New Spring Gardens Walk, Vauxhall",51.48780068,-0.122954917
"Great Russell Street, Bloomsbury",51.51753469,-0.1288152971
"Binfield Road, Stockwell",51.47256535,-0.1228001416
"Park Lane , Hyde Park",53.80079866,-1.562013176
"Cotton Garden Estate, Kennington",51.4907514,-0.1062222
"Borough High Street, The Borough",51.50405885,-0.0910153802
"Wynne Road, Stockwell",51.46917008,-0.1131922451
"Pancras Road, King's Cross",51.53095152,-0.1248901604
"Eaton Square (South), Belgravia",51.4945798,-0.1539044
"St. George Street, Mayfair",51.51314438,-0.1434859284
"Aldersgate Street, Barbican",51.5208657,-0.09752560127
"Jubilee Gardens, South Bank",51.50393985,-0.1181769384
"Bedford Way, Bloomsbury",51.52322047,-0.1277528807
"Crawford Street, Marylebone",51.51952963,-0.1609915346
"The Guildhall, Guildhall",51.51529295,-0.09123114273
"Saltoun Road, Brixton",51.46079025,-0.1122003478
"Brook Green South, Brook Green",51.4942495,-0.2156518
"Albert Bridge Road, Battersea Park",51.473973,-0.16311
